Building file: ../src/main.cpp
Invoking: GCC C++ Compiler
g++ -I../src -I/opt/mvapich2/intel/19.0/2.3.3/include -I/usr/local/boost/intel/19.0/mvapich2/2.3/1.72.0/include -O2 -g -Wall -c -fmessage-length=0 -std=c++17 -fopenmp    -MMD -MP -MF"src/main.d" -MT"src/main.d" -o "src/main.o" "../src/main.cpp"
Finished building: ../src/main.cpp
 
Building target: MPI
Invoking: GCC C++ Linker
g++ -o "Hybrid"   ./src/CStopWatch.o  ./src/main.o -L/usr/local/boost/intel/19.0/mvapich2/2.3/1.72.0/lib -L/opt/mvapich2/intel/19.0/2.3.3/lib -lmpich -libverbs -lpthread -lgomp -lmpi -lboost_mpi -lboost_serialization 
Finished building target: MPI
 
Fitness, Np, Nd, NumEvals, Time
Fitness, Np, Nd, NumEvals, Time
1,-242.317,1000,30,1500000,4.75393
1,-215.652,1000,30,1500000,4.68821
1,-228.925,1000,30,1500000,4.68556
1,-234.86,1000,30,1500000,4.72758
1,-206.633,1000,30,1500000,4.67866


2,-230.544,1000,30,1500000,2.5124
2,-218.555,1000,30,1500000,2.53486
2,-234.119,1000,30,1500000,2.56292
2,-239.136,1000,30,1500000,2.56646
2,-236.095,1000,30,1500000,2.5601


3,-226.329,1000,30,1500000,1.92623
3,-231.749,1000,30,1500000,1.97855
3,-222.594,1000,30,1500000,1.92359
3,-238.016,1000,30,1500000,1.93522
3,-226.445,1000,30,1500000,1.93809


4,-238.16,1000,30,1500000,1.62809
4,-225.401,1000,30,1500000,1.51917
4,-219.36,1000,30,1500000,1.47032
4,-224.372,1000,30,1500000,1.47643
4,-226.609,1000,30,1500000,1.47396


5,-238.523,1000,30,1500000,1.25702
5,-233.514,1000,30,1500000,1.10596
5,-240.599,1000,30,1500000,1.11023
5,-224.995,1000,30,1500000,1.10494
5,-234.906,1000,30,1500000,1.10965


6,-244.499,1000,30,1500000,1.032
6,-212.881,1000,30,1500000,0.97101
6,-230.348,1000,30,1500000,0.972672
6,-238.669,1000,30,1500000,0.97057
6,-236.471,1000,30,1500000,0.974554


7,-213.643,1000,30,1500000,0.912072
7,-208.45,1000,30,1500000,0.959672
7,-231.269,1000,30,1500000,0.955807
7,-236.859,1000,30,1500000,0.960874
7,-236.391,1000,30,1500000,0.956934


8,-231.121,1000,30,1500000,0.875427
8,-238.525,1000,30,1500000,0.854903
8,-221.501,1000,30,1500000,0.854585
8,-246.166,1000,30,1500000,0.851297
8,-240.113,1000,30,1500000,0.853605


9,-229.686,1000,30,1500000,0.809377
9,-250.642,1000,30,1500000,0.718138
9,-246.101,1000,30,1500000,0.718886
9,-226.525,1000,30,1500000,0.718939
9,-243.816,1000,30,1500000,0.717523


10,-245.472,1000,30,1500000,0.691547
10,-242.519,1000,30,1500000,0.747115
10,-240.017,1000,30,1500000,0.746569
10,-236.015,1000,30,1500000,0.747691
10,-242.849,1000,30,1500000,0.745954


