Building file: ../src/main.cpp
Invoking: GCC C++ Compiler
g++ -I../src -I/opt/mvapich2/intel/19.0/2.3.3/include -I/usr/local/boost/intel/19.0/mvapich2/2.3/1.72.0/include -O2 -g -Wall -c -fmessage-length=0 -std=c++17 -fopenmp    -MMD -MP -MF"src/main.d" -MT"src/main.d" -o "src/main.o" "../src/main.cpp"
Finished building: ../src/main.cpp
 
Building target: MPI
Invoking: GCC C++ Linker
g++ -o "Hybrid"   ./src/CStopWatch.o  ./src/main.o -L/usr/local/boost/intel/19.0/mvapich2/2.3/1.72.0/lib -L/opt/mvapich2/intel/19.0/2.3.3/lib -lmpich -libverbs -lpthread -lgomp -lmpi -lboost_mpi -lboost_serialization 
Finished building target: MPI
 
Fitness, Np, Nd, NumEvals, Time
1,-177.266,1000,30,3000000,9.36254
1,-214.34,1000,30,3000000,9.42355
1,-237.002,1000,30,3000000,9.59528
1,-246.525,1000,30,3000000,9.74907
1,-240.687,1000,30,3000000,9.51886

2,-211.505,1000,30,3000000,4.95236
2,-226.932,1000,30,3000000,4.91223
2,-236.142,1000,30,3000000,4.94859
2,-231.834,1000,30,3000000,4.92198
2,-233.565,1000,30,3000000,4.92082

3,-212.374,1000,30,3000000,3.6038
3,-226.659,1000,30,3000000,3.51574
3,-227.972,1000,30,3000000,3.51399
3,-226.872,1000,30,3000000,3.5157
3,-222.922,1000,30,3000000,3.51057

4,-225.616,1000,30,3000000,2.89478
4,-224.825,1000,30,3000000,2.69681
4,-237.956,1000,30,3000000,2.7162
4,-232.772,1000,30,3000000,2.71694
4,-228.592,1000,30,3000000,2.71793

5,-229.181,1000,30,3000000,2.25347
5,-236.804,1000,30,3000000,2.51006
5,-228.953,1000,30,3000000,2.51235
5,-230.798,1000,30,3000000,2.51323
5,-226.185,1000,30,3000000,2.51053

6,-235.384,1000,30,3000000,2.19167
6,-236.128,1000,30,3000000,2.15308
6,-233.76,1000,30,3000000,2.15249
6,-241.053,1000,30,3000000,2.152
6,-220.671,1000,30,3000000,2.15243

7,-214.808,1000,30,3000000,1.94452
7,-237.335,1000,30,3000000,1.69984
7,-233.452,1000,30,3000000,1.69965
7,-198.274,1000,30,3000000,1.69982
7,-225.427,1000,30,3000000,1.69915

8,-234.347,1000,30,3000000,1.58055
8,-227.839,1000,30,3000000,1.69715
8,-240.903,1000,30,3000000,1.69825
8,-219.242,1000,30,3000000,1.72577
8,-236.533,1000,30,3000000,1.69372

9,-218.787,1000,30,3000000,1.57013
9,-238.229,1000,30,3000000,1.56481
9,-240.777,1000,30,3000000,1.56525
9,-231.123,1000,30,3000000,1.60498
9,-240.827,1000,30,3000000,1.56473

10,-235.197,1000,30,3000000,1.45675
10,-241.951,1000,30,3000000,1.20829
10,-229.364,1000,30,3000000,1.20907
10,-228.604,1000,30,3000000,1.21302
10,-234.713,1000,30,3000000,1.2114

