NumThreads, Function, Fitness, Np, Nd, lastStep, bestStep, Evals, Position Time, Fitness Time, Velocity Time, Total Time,,,Average Time,,,,,,,,,
1,F2,-139.718,50,100,3000,2999,150000,0.366295,0.637252,2.95444,3.96115,,,50,100,150,200,250,300,350,400,450,500
1,F2,-154.521,50,100,3000,1437,150000,0.358021,0.584947,2.88376,3.82836,,1,3.863766,7.797228,11.62358,15.49586,19.45814,23.22878,27.21872,30.88614,34.99316,38.53236
1,F2,-209.576,50,100,3000,1665,150000,0.357976,0.602659,2.87059,3.83285,,2,1.999874,3.9399,5.900616,7.914054,9.84223,11.7556,13.73778,15.85228,17.64808,19.8245
1,F2,-157.957,50,100,3000,2999,150000,0.3582,0.616192,2.88232,3.85849,,3,1.392968,2.706188,4.028818,5.38648,6.902658,8.507444,9.864736,11.10322,12.6569,14.11572
1,F2,-163.605,50,100,3000,1802,150000,0.35784,0.602117,2.8764,3.83798,,4,1.119442,2.132046,3.253968,4.274124,5.354586,6.514172,7.589234,8.716926,9.7905,10.77334
,,,,,,,,,,,,,5,0.9292012,1.803396,2.677116,3.512012,4.462396,5.398786,6.260754,7.200294,8.0774,8.971998
1,F2,-139.041,100,100,3000,2999,300000,0.726189,1.32694,5.87609,7.93195,,6,0.8176212,1.574476,2.303796,3.097704,3.76246,4.496118,5.285358,5.965112,6.747198,7.453476
1,F2,-118.781,100,100,3000,2987,300000,0.719127,1.29101,5.81544,7.82831,,7,0.7088714,1.338424,1.983976,2.717982,3.308608,3.989022,4.66064,5.20086,5.729806,6.377896
1,F2,-134.013,100,100,3000,1356,300000,0.718489,1.24961,5.80789,7.77875,,8,0.6403602,1.200318,1.736256,2.340348,2.911186,3.501494,4.037922,4.616538,5.298892,5.728804
1,F2,-119.484,100,100,3000,1471,300000,0.715966,1.17461,5.76883,7.66216,,9,0.5946734,1.064328,1.59244,2.122858,2.62828,3.173436,3.729808,4.121216,4.640558,5.218566
1,F2,-129.924,100,100,3000,2999,300000,0.714787,1.30147,5.76592,7.78497,,10,0.5234252,1.0191348,1.439252,1.875006,2.376666,2.738054,3.17463,3.793918,4.180996,4.637926
,,,,,,,,,,,,,11,0.4923612,0.9180306,1.377216,1.814152,2.20005,2.651396,3.041042,3.450624,3.824294,4.268222
1,F2,-125.973,150,100,3000,1401,450000,1.07808,1.79931,8.70963,11.5909,,12,2.5076366,0.8517356,1.238722,1.609564,1.987932,2.376782,2.739336,3.127656,3.461678,4.069544
1,F2,-112.918,150,100,3000,1832,450000,1.07848,1.76205,8.68824,11.5327,,,,,,,,,,,,
1,F2,-120.102,150,100,3000,2999,450000,1.072,2.03328,8.63191,11.7411,,,,,,,,,,,,
1,F2,-107.749,150,100,3000,1225,450000,1.07102,1.82232,8.62432,11.5215,,,,,,,,,,,,
1,F2,-109.291,150,100,3000,2999,450000,1.07558,1.94583,8.70632,11.7317,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-107.327,200,100,3000,2937,600000,1.43565,2.69041,11.5722,15.7032,,,,,,,,,,,,
1,F2,-122.986,200,100,3000,1456,600000,1.43171,2.36838,11.538,15.3431,,,,,,,,,,,,
1,F2,-113.257,200,100,3000,1623,600000,1.44919,2.3744,11.6929,15.5215,,,,,,,,,,,,
1,F2,-98.3567,200,100,3000,1311,600000,1.43011,2.42132,11.5297,15.3861,,,,,,,,,,,,
1,F2,-124.45,200,100,3000,1931,600000,1.44273,2.45372,11.624,15.5254,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-96.9416,250,100,3000,2999,750000,1.78517,3.34549,14.4194,19.5562,,,,,,,,,,,,
1,F2,-82.9021,250,100,3000,1446,750000,1.78519,3.11121,14.4378,19.3403,,,,,,,,,,,,
1,F2,-105.065,250,100,3000,2999,750000,1.78705,3.35412,14.4696,19.6169,,,,,,,,,,,,
1,F2,-119.813,250,100,3000,2999,750000,1.78558,3.2353,14.4594,19.4865,,,,,,,,,,,,
1,F2,-86.9729,250,100,3000,1529,750000,1.78922,3.06293,14.4325,19.2908,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-98.6942,300,100,3000,2999,900000,2.15214,3.81984,17.3629,23.342,,,,,,,,,,,,
1,F2,-93.3568,300,100,3000,2999,900000,2.1438,3.80402,17.408,23.3629,,,,,,,,,,,,
1,F2,-96.1245,300,100,3000,2060,900000,2.14461,3.66099,17.3709,23.1836,,,,,,,,,,,,
1,F2,-121.759,300,100,3000,1737,900000,2.14376,3.6457,17.3043,23.1008,,,,,,,,,,,,
1,F2,-101.516,300,100,3000,1326,900000,2.14664,3.65146,17.3494,23.1546,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-101.987,350,100,3000,2999,1050000,2.50881,4.50019,20.2842,27.3015,,,,,,,,,,,,
1,F2,-97.6418,350,100,3000,2999,1050000,2.50565,4.65807,20.3453,27.5173,,,,,,,,,,,,
1,F2,-98.5548,350,100,3000,1398,1050000,2.50453,4.16858,20.2086,26.89,,,,,,,,,,,,
1,F2,-95.5242,350,100,3000,1849,1050000,2.50265,4.43095,20.1365,27.0783,,,,,,,,,,,,
1,F2,-104.878,350,100,3000,2999,1050000,2.50806,4.54086,20.2494,27.3065,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,F2,-100.273,400,100,3000,1522,1200000,2.8608,4.84052,23.1716,30.8823,,,,,,,,,,,,
1,F2,-88.5717,400,100,3000,1395,1200000,2.85979,4.99807,23.0428,30.9099,,,,,,,,,,,,
1,F2,-77.7447,400,100,3000,1929,1200000,2.85747,4.74357,23.1127,30.7231,,,,,,,,,,,,
1,F2,-59.6398,400,100,3000,1464,1200000,2.86767,4.65055,23.2765,30.804,,,,,,,,,,,,
